ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0058,Laklak Men Gabrug,Denpasar,"-8,662,218","1,151,630,412",36170708415,"58_a,58_b","Kukus Ketan Putih, Kukus Injin, Laklak Bali, Lempog, Pisang Rai"
t0059,Ayam Betutu KR Kuta,Badung Kuta,"-87,310,431","1,151,776,009",3614754292,"59_a,59_b","Paket Bebek Betutu, Sayur Plecing, Ayam Betutu Kuah, Nasi Campur KR, Ayam Betutu Goreng"
t0060,Nasi Lawar Babi & Kecubung,Denpasar,"-8,652,968","115,229,877",87761565762,60_a,"Nasi Lawar Babi, Nasi Lawar Buleleng, Lawar Buleleng, Nasi Lawar Babi Campur Ayam, Nasi Lawar Ayam "
t0061,Nasi Babi Guling Penatih,"Penatih, Denpasar","-86,166,232","1,152,405,857",8123971461,"61_a,61_b","Nasi Babi Kuah, Nasi Campur Kuah, Lawar, Sup Ares, Nasi"
t0062,Warung Buk Dayu,Denpasar Barat,"-8,660,504","115,181,802",87860982104,"62_a,62_b","Nasi Campur Babi Guling, Nasi Campur Hemat, Paket Sate, Paket Lawar Sayur, Balung"
t0063,Nasi ayam Peken Pidada,Gatsu Barat,"-8,635,345","1,152,016,611",81337332104,"63_a,63_b","Lalapan Ayam, Soto Ayam, Soto Ceker, Ayam Geprek, Soto Ayam Biasa"
t0064,Sate babi Pak Wayan,Denpasar Barat,"-8,657,181","115,212,164",82339631524,"64_a,64_b","Kerupuk, Nasi, Sate Babi 15, Sate Babi 10, Sate Babi 5, "
t0065,Sate Tut Narutto,Denpasar,"-87,001,611","1,151,767,235",87861997720,"65_a,65_b","Sate Babi, Sate Babi Tipat, Sate Ayam, Sate Ayam Tipat, Tipat"
t0066,Warung Bu Putu,Denpasar,"-86,712,138","1,151,778,527",82146297933,"66_a,66_b,66_c","Tipat Cantok, Tipat Cantok Telur, Tipat Kuah Ayam, Tipat Lawar Cumi, Rujak Kuah Pindang"
t0067,Nasi Lawar Pak De,Denpasar,"-8,672,577","11,521,422",85847417989,"67_a,67_b","Nasi Lawar Kuah, Nasi Lawar, Paket Komplit Nasi Lawar, Nasi Lawar Spesial, Paket Hemat Nasi Lawar"
t0068,Betutu Pitik Bali,Gianyar,"-85,415,186","1,153,267,862",87762914443,"68_a,68_b","Nasi Bungkus Pitik Bali, Nasi Pitik Bali Spesial, Ayam Panggang Pitik Bali, Ayam Betutu Pitik Bali, Nasi Pitik Bali Biasa"
t0069,Nasi Ayam Ibu Oki,"Badung, Jimbaran","-8,784,163","115,172,532",(0361) 8052059,"69_a,69_b","Nasi Campur Biasa, Nasi Campur Sedang, Ayam Goreng, Sayur Urap, Ayam Betutu"
t0070,Sate Nyoman Bledor,Badung Utara,"-84,766,461","115,136,585",85238751301,"70_a,70_b","Nasi Sela, Sate Babi S, Sate Babi Nasi Sela, Sate Babi M, Tipat Sate Babi"
t0071,Warung Babi Guling Pak Man Ligir,Denpasar,"-86,479,259","1,152,100,919",85100784260,"71_a,71_b,71_c","Nasi Spesial, Nasi Campur, Daging Babi Guling, Paket Spesial Pisah Nasi, Kulit"
t0072,Sate Babi Bawah Pohon Gelora Trisakti,Badung,"-87,120,716","1,151,108,954",81936253567,"72_a,72_b","Sate Babi, Lontong, Sambal Merah, Nasi Sate Babi, Lontong Sate Babi"
t0073,Babi Guling Central Park,"Badung, Kuta","-8,711,997","1,151,773,363",81236288555,"73_a,73_b","Nasi Babi Guling, Daging Babi Guling, Rendang Bali, Daging dan Kulit Babi Guling, Nasi Babi Sambal Celedu"
t0074,Babi Guling Pak Malen,"Badung, Kuta","-87,160,934","1,151,856,797",85100452968,"74_a,74_b,74_c","Sate Babi Pak Malen, Gorengan Khas Pak Malen, Daging Babi Rica Pak Malen, Daging Babi Guling Pak Malen, Nasi Campur Babi Guling Pak Malen"
t0075,Babi Guling Pak Dobiel,Badung,"-88,006,465","1,151,526,525",361771633,"75_a,75_b","Nasi Kotak Komplit, Nasi Campur Komplit, Sate Babi, Daging Campur, Daging Putih"
t0076,Babi Guling Men Agus,"Munggu, Tanah Lot","-86,359,559","1,151,431,111",81936064104,"76_a,76_b","Nasi Babi Guling Pisah, Nasi Babi Guling Campur, Nasi Babi Guling Spesial"
t0077,Babi Guling Bu Dayu,"Badung, Kuta","-86,359,559","1,151,431,111",82144529142,"77_a,77_b","Nasi Babi Guling Spesial, Nasi Babi Guling Campur, Kulit Babi Guling, Sate Plecing, Sup Balung"
